Date,Timestamp,R,D,Margin,Daily Margin Change,Vote Difference,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2024-11-05,23:46:00,57675,62773,0.042325318809776837,,5098,120448,,Contra Costa,
2024-11-06,08:10:00,72107,74156,0.014009011164819538,-0.0283163076449573,2049,146263,,Contra Costa,
2024-11-06,17:25:00,72107,74156,0.014009011164819538,0,2049,146263,,Contra Costa,
2024-11-07,17:37:00,72150,74163,0.013758175965225236,-0.0002508351995943025,2013,146313,370301,Contra Costa,191700
2024-11-08,17:12:00,72783,74730,0.013198836712696508,-0.0005593392525287278,1947,147513,262801,Contra Costa,84200
2024-11-09,17:44:00,81504,85528,0.024091192106901672,0.010892355394205164,4024,167032,262801,Contra Costa,84200
2024-11-10,19:32:00,81504,85528,0.024091192106901672,0,4024,167032,262801,Contra Costa,84200
2024-11-11,17:07:00,81504,85528,0.024091192106901672,0,4024,167032,208361,Contra Costa,84200
2024-11-12,08:08:00,93522,100646,0.03668987680771291,0.012598684700811234,7124,194168,208361,Contra Costa,84200
2024-11-12,17:19:00,93574,100665,0.036506571800719735,-0.0001833050069931716,7091,194239,208271,Contra Costa,84200
2024-11-13,10:32:00,93574,100665,0.036506571800719735,0,7091,194239,192854,Contra Costa,84200
2024-11-14,03:14:00,108946,117071,0.03594862333364304,-0.0005579484670766924,8125,226017,93244,Contra Costa,15150
2024-11-14,18:06:00,108991,117090,0.03582344380996191,-0.00012517952368112928,8099,226081,93244,Contra Costa,15150
2024-11-15,19:08:00,114580,123553,0.037680623853056906,0.0018571800430949928,8973,238133,70906,Contra Costa,14600
2024-11-16,17:52:00,114580,123553,0.037680623853056906,0,8973,238133,58178,Contra Costa,14600
2024-11-18,09:30:00,114580,123553,0.037680623853056906,0,8973,238133,58178,Contra Costa,14600
2024-11-18,18:44:00,114684,123656,0.03764370227406227,-3.6921578994639215e-05,8972,238340,58178,Contra Costa,14600
2024-11-19,18:03:00,114790,123678,0.03727124813392153,-0.0003724541401407336,8888,238468,57962,Contra Costa,14600
2024-11-20,17:52:00,115312,124329,0.03762711722952249,0.0003558690956009594,9017,239641,30421,Contra Costa,14600
2024-11-21,18:41:00,115317,124332,0.03761751561658926,-9.60161293322992e-06,9015,239649,28210,Contra Costa,14600
2024-11-22,20:02:00,115952,124885,0.037091476807965554,-0.0005260388086237092,8933,240837,18610,Contra Costa,5000
2024-11-23,17:53:00,115952,124885,0.037091476807965554,0,8933,240837,17949,Contra Costa,5000
2024-11-25,18:56:00,116929,125773,0.036439749157402904,-0.0006517276505626501,8844,242702,17949,Contra Costa,5000
